company,role,location,salary,platform,status,date_applied,job_url,notes
Deloitte UK,Data Analyst,London (Hybrid),£40000 – £50000,LinkedIn,Interview,2026-03-10,,Match: 92% | Second round interview scheduled
NHS Digital,BI Analyst,Leeds (Hybrid),Band 6 – £35392,NHS Jobs,Assessment,2026-03-12,,Match: 88% | Online assessment completed
KPMG,Data Engineer,Manchester (Hybrid),£45000 – £55000,Indeed,Recruiter Call,2026-03-15,,Match: 85% | Spoke with recruiter — moving to technical stage
Barclays,SQL Developer,Remote UK,£38000 – £45000,CWJobs,Applied,2026-03-18,,Match: 80%
Lloyds Banking Group,Data Analyst,Edinburgh (Hybrid),£42000 – £48000,Reed,Rejected,2026-03-20,,Match: 78% | No feedback provided
PwC,Business Intelligence Analyst,Birmingham (Hybrid),£40000 – £50000,LinkedIn,Applied,2026-03-22,,Match: 82%
AstraZeneca,Data Science Analyst,Cambridge (Hybrid),£45000 – £55000,Indeed,Interview,2026-03-25,,Match: 87% | First interview went well — awaiting second round
Transport for London,Data Analyst,London (Hybrid),£38000 – £44000,Direct / Company Website,Applied,2026-03-28,,Match: 79%
Boots UK,Power BI Developer,Nottingham (Hybrid),£40000 – £48000,Reed,Rejected,2026-04-01,,Match: 76% | Oversubscribed role
Harnham,Data Analyst,Remote UK,£35000 – £45000,Reed,Recruiter Call,2026-04-03,,Match: 83% | Recruiter call booked for next week
Marks & Spencer,Insight Analyst,London (Hybrid),£38000 – £45000,LinkedIn,Applied,2026-04-05,,Match: 80%
Virgin Media O2,Data Engineer,Remote UK,£45000 – £55000,Indeed,Applied,2026-04-07,,Match: 84% | Fully remote — ideal
Experian,Data Analyst,Nottingham (Hybrid),£40000 – £50000,Glassdoor,Assessment,2026-04-08,,Match: 86% | Online test completed — SQL and Python
JPMorgan Chase,Data Engineer,London (Hybrid),Competitive,Indeed,Applied,2026-04-10,,Match: 78% | Prestigious — worth applying
Pardoe Wray,SQL Developer,Bedale N. Yorkshire (Hybrid),£35000 – £45000,TotalJobs,Recruiter Call,2026-04-10,,Match: 85% | Spoke with Nathan Pardoe MD — awaiting client feedback
